啊	a
爱	ai
安	an
奥	ao
不	bu
本	ben
吧	ba
并	bing
被	bei
别	bie
报	bao
表	biao
白	bai
办	ban
帮	bang
崩	beng
比	bi
便	bian
宾	bin
博	bo
从	cong
出	chu
成	cheng
长	chang
此	ci
才	cai
车	che
吃	chi
产	chan
重	chong
查	cha
擦	ca
拆	chai
参	can
藏	cang
超	chao
草	cao
测	ce
称	chen
曾	ceng
抽	chou
促	cu
踹	chuai
传	chuan
窜	cuan
窗	chuang
吹	chui
催	cui
春	chun
存	cun
错	cou
戳	chuo
的	de
第	di
大	da
代	dai
到	dao
得	de
但	dan
当	dang
等	deng
点	dian
掉	diao
跌	die
顶	ding
丢	diu
动	dong
都	dou
读	du
段	duan
对	dui
顿	dun
多	duo
额	e
恩	en
而	er
发	fa
放	fang
非	fei
风	feng
饭	fan
分	fen
复	fu
佛	fo
否	fou
个	ge
过	guo
股	gu
共	gong
管	guan
给	gei
该	gai
干	gan
刚	gang
搞	gao
跟	gen
更	geng
够	gou
挂	gua
乖	guai
光	guang
贵	gui
滚	gun
好	hao
和	he
会	hui
后	hou
还	hai
话	hua
哈	ha
含	han
行	hang
黑	hei
很	hen
橫	heng
红	hong
胡	hu
坏	huai
换	huan
黄	huang
混	hun
或	huo
就	jiu
加	jia
接	jie
经	jing
及	ji
将	jiang
见	jian
叫	jiao
近	jin
冏	jiong
据	ju
卷	juan
觉	jue
均	jun
可	ke
快	kuai
开	kai
看	kan
口	kou
空	kong
困	kun
靠	kao
卡	ka
抗	kang
肯	ken
坑	keng
哭	ku
跨	kua
宽	kuan
框	kuang
亏	kui
扩	kuo
了	le
聊	liao
来	lai
两	liang
里	li
老	lao
啦	la
另	ling
蓝	lan
浪	lang
类	lei
冷	leng
俩	lia
连	lian
列	lie
林	lin
刘	liu
咯	lo
龙	long
楼	lou
路	lu
乱	luan
鋢	lue
论	lun
落	luo
率	lv
略	lve
没	mei
莫	mo
们	men
面	mian
名	ming
么	me
吗	ma
买	mai
慢	man
忙	mang
毛	mao
梦	meng
米	mi
秒	miao
灭	mie
民	min
某	mou
木	mu
你	ni
年	nian
那	na
内	nei
难	nan
女	nv
能	neng
牛	niu
您	nin
呢	ne
闹	nao
弄	nong
酿	niang
鸟	niao
捏	nie
宁	ning
乃	nai
囊	nang
怒	nu
暖	nuan
诺	nuo
虐	nve
偶	ou
平	ping
片	pian
拼	pin
怕	pa
拍	pai
盘	pan
旁	pang
跑	pao
陪	pei
盆	pen
碰	peng
皮	pi
票	piao
撇	pie
破	po
剖	pou
普	pu
去	qu
前	qian
其	qi
请	qing
全	quan
球	qiu
强	qiang
且	qie
桥	qiao
恰	qia
亲	qin
穷	qiong
却	que
群	qun
人	ren
如	ru
然	ran
日	ri
让	rang
热	re
软	ruan
绕	rao
仍	reng
容	rong
肉	rou
瑞	rui
润	run
若	ruo
是	shi
上	shang
谁	shui
说	shuo
三	san
四	si
什	shen
岁	sui
所	suo
啥	sha
撒	sa
赛	sai
晒	shai
山	shan
丧	sang
少	shao
扫	sao
设	she
色	se
森	sen
省	sheng
僧	seng
手	shou
搜	sou
书	shu
素	su
刷	shua
帅	shuai
算	suan
拴	shuan
双	shuang
顺	shun
孙	sun
送	song
他	ta
同	tong
天	tian
头	tou
提	ti
太	tai
条	tiao
谈	tan
汤	tang
套	tao
特	te
疼	teng
贴	tie
听	ting
图	tu
团	tuan
退	tui
吞	tun
拖	tuo
我	wo
为	wei
问	wen
无	wu
外	wai
王	wang
万	wan
哇	wa
翁	weng
下	xia
行	xing
小	xiao
新	xin
先	xian
想	xiang
学	xue
西	xi
写	xie
兄	xiong
修	xiu
需	xu
选	xuan
寻	xun
有	you
一	yi
要	yao
也	ye
月	yue
用	yong
呀	ya
言	yan
样	yang
因	yin
应	ying
余	yu
元	yuan
晕	yun
哟	yo
在	zai
这	zhe
中	zhong
字	zi
之	zhi
做	zuo
找	zhao
住	zhu
张	zhang
正	zheng
最	zui
咱	zan
总	zong
走	zou
早	zao
则	ze
咋	za
准	zhun
怎	zen
真	zhen
摘	zhai
站	zhan
周	zhou
抓	zhua
转	zhuan
装	zhuang
追	zhui
尊	zun
脏	zang
着	zhuo
组	zu
贼	zei
钻	zuan
曾	zeng
炸	zha
