阿胶	e'jiao
阿魏	a'wei
阿魏化痞膏	a'wei'hua'pi'gao
矮地茶	ai'di'cha
艾附暖宫丸	ai'fu'nuan'gong'wan
艾叶	ai'ye
安宫牛黄散	ang'gong'niu'huang'san
安宫牛黄丸	ang'ong'niu'huang'wan
安坤赞育丸	an'kun'zan'yu'wan
安神补脑液	an'shen'bu'nao'ye
安神补心丸	an'shen'bu'xin'wan
安神胶囊	an'shen'jiao'nang
安胃片	an'wei'pian
安息香	an'xi'xiang
安阳精制膏	an'yang'jing'zhi'gao
安中片	an'zhong'pian
八宝坤顺丸	ba'bao'kun'shun'wan
八角茴香	ba'jiao'hui'xiang
八角茴香油	ba'jiao'hui'xiang'you
八味沉香散	ba'wei'chen'xiang'san
八味清心沉香散	ba'wei'qing'xin'chen'xiang'san
八味檀香散	ba'wei'tan'xiang'san
八珍丸	ba'zhen'wan
八珍益母丸	ba'zhen'wan
八正合剂	ba'zheng'he'ji
巴豆	ba'dou
巴豆霜	ba'dou'shuang
巴戟天	ba'ji'tian
白扁豆	bai'bian'dou
白带丸	bai'dai'wan
白矾	bai'fan
白附子	bai'fu'zi
白果	bai'guo
白及	bai'ji
白茅根	bai'mao'gen
白前	bai'qian
白芍	bai'shao
白术	bai'zhu
白头翁	bai'tou'weng
白鲜皮	bai'xian'pi
白芷	bai'zhi
白蔹	bai'lian
白薇	bai'wei
柏子仁	bai'zi'ren
柏子养心丸	bai'zi'yang'xin'wan
百部	bai'bu
百合	bai'he
百合固金丸	bai'he'gu'jin'wan
浓缩丸	nong'suo'wan
百令胶囊	bai'ling'jiao'nang
斑蝥	ban'mao
板蓝根	ban'lang'en
板蓝根颗粒	ban'lang'en'ke'li
半边莲	ban'bian'lian
半夏	ban'xia
半枝莲	ban'zhi'lian
薄荷	bo'he
薄荷脑	bo'hen'ao
薄荷素油	bo'he'su'you
薄荷油	bo'he'you
保赤散	bao'chi'san
保妇康栓	bao'fu'kang'shuan
保和丸	bao'he'wan
水丸	shui'wan
保济丸	bao'ji'wan
宝咳宁颗粒	bao'ke'ning'ke'li
抱龙丸	bao'long'wan
北豆根	bei'dou'gen
北豆根片	bei'dou'gen'pian
北沙参	bei'sha'shen
贝羚胶囊	bei'ling'jiao'nang
鼻炎片	bi'yan'pian
鼻渊舒口服液	bi'yuan'shu'kou'fu'ye
鼻窦炎口服液	bi'dou'yan'kou'fu'ye
蓖麻油	bi'ma'you
蓖麻子	bi'ma'zi
避瘟散	bi'wen'san
扁蓄	bian'xu
鳖甲	bie'jia
冰硼散	bing'peng'san
冰片	bing'pian
合成龙脑	he'cheng'long'nao
拨云退翳丸	bo'yun'tui'yi'wan
补骨脂	bu'gu'zhi
补肾固齿丸	bu'shen'gu'chi'wan
补肾益脑片	bu'shen'yin'ao'pian
补中益气丸	bu'zhong'yi'qi'wan
参精止渴丸	shen'jing'zhi'ke'wan
降糖丸	jiang'tang'wan
参茸白凤丸	shen'rong'bai'feng'wan
参茸保胎丸	shen'rong'bao'tai'wan
参茸固本片	shen'rong'gu'ben'pian
参苏丸	shen'su'wan
参芪五味子片	shen'qi'wu'wei'zi'pian
参苓白术散	shen'ling'bai'zhu'san
蚕蛾公补片	can'e'gong'bu'pian
苍耳子	cang'er'zi
苍术	cang'zhu
草豆蔻	cao'dou'kou
草果	cao'guo
草乌	cao'wu
草乌叶	cao'wu'ye
侧柏叶	ce'bai'ye
茶油	cha'you
柴胡	chai'hu
柴胡口服液	chai'hu'kou'fu'ye
柴胡舒肝丸	chai'hu'shu'gan'wan
蝉蜕	chan'tui
产复康颗粒	chan'fu'kang'ke'li
常山	chang'shan
肠胃宁片	chang'wei'ning'pian
炒瓜蒌子	chao'gua'lou'zi
车前草	che'qian'cao
车前子	che'qian'zi
沉香	chen'xiang
沉香化气丸	chen'xiang'hua'qi'wan
陈皮	chen'pi
陈皮	chen'pi
赤芍	chi'shao
赤石脂	chi'shi'zhi
赤小豆	chi'xiao'dou
虫白蜡	chong'bai'la
川贝母	chuan'bei'mu
川贝雪梨膏	chuan'bei'xue'li'gao
川贝枇杷糖浆	chuan'bei'pi'pa'tang'jiang
川木通	chuan'mu'tong
川木香	chuan'mu'xiang
川牛膝	chuan'niu'xi
川射干	chuan'she'gan
川乌	chuan'wu
川芎	chuan'xiong
川芎茶调散	chuan'xiong'cha'tiao'san
川芎茶调丸	chuan'xiong'cha'tiao'wan
川楝子	chuan'lian'zi
穿山甲	chuan'shan'jia
穿山龙	chuan'shan'long
穿心莲	chuan'xin'lian
穿心莲片	chuan'xin'lian'pian
垂盆草	chui'pen'cao
椿皮	chun'pi
纯阳正气丸	chun'yang'zheng'qi'wan
磁石	ci'shi
刺五加	ci'wu'jia
刺五加浸膏	ci'wu'jia'jing'ao
刺五加片	ci'wu'jia'pian
催汤丸	cui'tang'wan
大补阴丸	da'bu'yin'wan
大腹皮	da'fu'pi
大黄	da'huang
大黄蟅虫丸	da'huang'zhe'chong'wan
大黄流浸膏	da'huang'liu'jing'gao
大黄清胃丸	da'huang'qing'wei'wan
大蓟	da'ji
大蓟炭	da'ji'tan
大青叶	da'qing'ye
大山楂丸	da'shan'zha'wan
大血藤	da'xue'teng
大枣	da'zao
代温灸膏	dai'wen'jiu'gao
丹参	dan'shen
丹参片	dan'shen'pian
胆固醇	dan'gu'chun
胆红素	dan'hong'su
胆乐胶囊	dan'le'jiao'nang
